Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,year,month
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28,Ewallet,716.8,4.761904762,35.84,6.6,2019,2
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,20:36,Cash,183.66,4.761904762,9.183,9.3,2019,3
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,13:40,Ewallet,495.63,4.761904762,24.7815,10.0,2019,2
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27,Credit card,158.1,4.761904762,7.905,8.6,2019,3
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,15:43,Ewallet,66.94,4.761904762,3.347,6.7,2019,2
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:01,Ewallet,585.66,4.761904762,29.283,9.9,2019,1
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:50,Cash,18.33,4.761904762,0.9165,4.3,2019,2
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46,Credit card,894.8,4.761904762,44.74,9.6,2019,1
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19,Cash,621.2,4.761904762,31.06,5.9,2019,2
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,18:17,Ewallet,145.56,4.761904762,7.278,4.0,2019,3
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,18:21,Cash,455.46,4.761904762,22.773,8.7,2019,3
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,14:20,Credit card,441.36,4.761904762,22.068,8.6,2019,1
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48,Credit card,180.09,4.761904762,9.0045,5.7,2019,1
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24,Ewallet,783.1,4.761904762,39.155,6.6,2019,3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17,Cash,244.55,4.761904762,12.2275,6.6,2019,3
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,14:31,Ewallet,581.42,4.761904762,29.071,4.0,2019,3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57,Cash,42.47,4.761904762,2.1235,5.7,2019,1
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,16:42,Ewallet,153.86,4.761904762,7.693,5.1,2019,1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09,Credit card,579.24,4.761904762,28.962,8.6,2019,3
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05,Credit card,89.75,4.761904762,4.4875,6.6,2019,2
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:38,Ewallet,97.16,4.761904762,4.858,7.2,2019,3
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,13:11,Cash,74.7,4.761904762,3.735,4.1,2019,2
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14,Cash,496.2,4.761904762,24.81,7.4,2019,3
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22,Cash,706.95,4.761904762,35.3475,7.2,2019,3
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27,Cash,207.63,4.761904762,10.3815,4.9,2019,2
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50,Ewallet,886.7,4.761904762,44.335,7.3,2019,1
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,20:54,Credit card,164.28,4.761904762,8.214,7.9,2019,1
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,14:30,Cash,819.7,4.761904762,40.985,9.2,2019,3
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:32,Ewallet,32.98,4.761904762,1.649,4.6,2019,2
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41,Credit card,294.63,4.761904762,14.7315,7.8,2019,2
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31,Credit card,727.11,4.761904762,36.3555,9.5,2019,2
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,13:01,Credit card,81.06,4.761904762,4.053,7.1,2019,3
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29,Ewallet,109.7,4.761904762,5.485,5.3,2019,3
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48,Ewallet,109.6,4.761904762,5.48,6.0,2019,2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02,Credit card,399.84,4.761904762,19.992,6.5,2019,1
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:26,Credit card,899.64,4.761904762,44.982,4.2,2019,3
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,14:57,Ewallet,451.76,4.761904762,22.588,7.3,2019,3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,18:44,Credit card,655.83,4.761904762,32.7915,4.5,2019,3
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,16:17,Credit card,285.57,4.761904762,14.2785,5.9,2019,1
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,15:57,Ewallet,548.32,4.761904762,27.416,8.5,2019,1
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15,Ewallet,812.52,4.761904762,40.626,7.2,2019,2
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34,Cash,552.78,4.761904762,27.639,8.3,2019,3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,18:36,Cash,139.36,4.761904762,6.968,7.4,2019,2
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,16:43,Ewallet,487.8,4.761904762,24.39,5.3,2019,3
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,19:57,Cash,686.0,4.761904762,34.3,9.1,2019,2
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2019-03-08,17:11,Credit card,277.56,4.761904762,13.878,9.5,2019,3
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28,Ewallet,301.4,4.761904762,15.07,9.2,2019,2
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,15:07,Credit card,574.88,4.761904762,28.744,6.2,2019,3
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.016,2019-03-11,16:07,Credit card,241.92,4.761904762,12.096,7.3,2019,3
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2019-02-07,18:23,Ewallet,98.88,4.761904762,4.944,9.9,2019,2
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,19:40,Cash,72.17,4.761904762,3.6085,6.1,2019,1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,13:58,Ewallet,251.4,4.761904762,12.57,9.7,2019,3
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,16:20,Credit card,989.8,4.761904762,49.49,8.7,2019,2
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,2019-02-01,15:10,Credit card,486.64,4.761904762,24.332,8.5,2019,2
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2019-01-03,11:36,Ewallet,350.05,4.761904762,17.5025,5.5,2019,1
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,2019-03-03,19:17,Cash,166.8,4.761904762,8.34,6.3,2019,3
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.228,2019-03-03,17:01,Credit card,177.36,4.761904762,8.868,9.6,2019,3
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,2019-02-09,10:00,Cash,449.82,4.761904762,22.491,5.7,2019,2
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,2019-03-04,11:19,Credit card,86.38,4.761904762,4.319,6.7,2019,3
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,2.712,56.952,2019-03-05,19:46,Ewallet,54.24,4.761904762,2.712,8.0,2019,3
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,2019-03-03,19:00,Ewallet,755.92,4.761904762,37.796,7.5,2019,3
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,2019-02-08,10:53,Cash,185.88,4.761904762,9.294,7.0,2019,2
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,2019-02-10,12:50,Ewallet,74.07,4.761904762,3.7035,9.9,2019,2
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,2019-02-11,10:39,Credit card,231.12,4.761904762,11.556,7.2,2019,2
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,8.3,174.3,2019-03-12,19:58,Credit card,166.0,4.761904762,8.3,8.2,2019,3
875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10,12.95,271.95,2019-02-06,14:51,Ewallet,259.0,4.761904762,12.95,8.7,2019,2
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,2019-01-03,12:02,Ewallet,207.27,4.761904762,10.3635,7.9,2019,1
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,2019-01-04,18:19,Credit card,599.85,4.761904762,29.9925,9.7,2019,1
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,2019-03-02,19:42,Credit card,897.57,4.761904762,44.8785,6.5,2019,3
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.963,146.223,2019-01-04,13:24,Credit card,139.26,4.761904762,6.963,4.4,2019,1
891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,10.3635,217.6335,2019-03-11,15:53,Cash,207.27,4.761904762,10.3635,6.5,2019,3
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,37.948,796.908,2019-02-12,12:58,Ewallet,758.96,4.761904762,37.948,8.7,2019,2
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34,3,8.601,180.621,2019-03-10,18:59,Credit card,172.02,4.761904762,8.601,7.9,2019,3
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7,21.728,456.288,2019-03-06,13:46,Ewallet,434.56,4.761904762,21.728,5.4,2019,3
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.716,183.036,2019-01-11,14:29,Credit card,174.32,4.761904762,8.716,9.7,2019,1
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,25.368,532.728,2019-03-11,12:55,Ewallet,507.36,4.761904762,25.368,7.4,2019,3
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3,1.5885,33.3585,2019-03-12,13:52,Credit card,31.77,4.761904762,1.5885,8.7,2019,3
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,84.09,9,37.8405,794.6505,2019-02-11,10:54,Cash,756.81,4.761904762,37.8405,8.0,2019,2
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,545.37,2019-03-09,18:24,Ewallet,519.4,4.761904762,25.97,6.5,2019,3
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,44.22,5,11.055,232.155,2019-03-05,17:07,Credit card,221.1,4.761904762,11.055,8.6,2019,3
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22,5,3.305,69.405,2019-03-02,19:26,Cash,66.1,4.761904762,3.305,4.3,2019,3
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,2019-01-11,11:20,Ewallet,89.69,4.761904762,4.4845,4.9,2019,1
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,11.223,235.683,2019-01-11,16:49,Credit card,224.46,4.761904762,11.223,5.6,2019,1
448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2,5.977,125.517,2019-03-11,12:01,Credit card,119.54,4.761904762,5.977,5.8,2019,3
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,2019-01-05,11:25,Cash,250.6,4.761904762,12.53,4.2,2019,1
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.548,788.508,2019-02-02,18:42,Credit card,750.96,4.761904762,37.548,8.3,2019,2
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,2019-01-01,14:47,Cash,380.72,4.761904762,19.036,5.7,2019,1
866-05-7563,B,Mandalay,Member,Female,Electronic accessories,81.4,3,12.21,256.41,2019-02-09,19:43,Cash,244.2,4.761904762,12.21,4.8,2019,2
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,326.424,2019-01-07,16:11,Credit card,310.88,4.761904762,15.544,8.8,2019,1
845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9,20.9475,439.8975,2019-02-02,15:34,Ewallet,418.95,4.761904762,20.9475,6.4,2019,2
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,1.439,30.219,2019-03-02,19:44,Credit card,28.78,4.761904762,1.439,7.2,2019,3
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,2019-01-06,11:23,Cash,471.2,4.761904762,23.56,8.9,2019,1
729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6,7.773,163.233,2019-02-05,10:16,Ewallet,155.46,4.761904762,7.773,8.7,2019,2
380-94-4661,C,Naypyitaw,Member,Male,Electronic accessories,65.94,4,13.188,276.948,2019-02-07,13:05,Credit card,263.76,4.761904762,13.188,6.9,2019,2
821-07-3596,C,Naypyitaw,Normal,Female,Fashion accessories,16.45,4,3.29,69.09,2019-03-07,14:53,Ewallet,65.8,4.761904762,3.29,5.6,2019,3
447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24,10,11.12,233.52,2019-02-09,11:00,Cash,222.4,4.761904762,11.12,4.2,2019,2
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,723.24,2019-03-12,12:43,Credit card,688.8,4.761904762,34.44,8.7,2019,3
571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,783.3,2019-01-08,20:55,Cash,746.0,4.761904762,37.3,9.5,2019,1
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.108,2019-01-05,16:05,Credit card,282.96,4.761904762,14.148,4.4,2019,1
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,2019-01-04,13:34,Ewallet,355.4,4.761904762,17.77,7.0,2019,1
783-09-1637,B,Mandalay,Normal,Female,Sports and travel,67.43,5,16.8575,354.0075,2019-03-06,18:13,Ewallet,337.15,4.761904762,16.8575,6.3,2019,3
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,44.352,2019-01-03,19:17,Cash,42.24,4.761904762,2.112,9.7,2019,1
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,2019-01-07,11:44,Credit card,193.86,4.761904762,9.693,8.8,2019,1
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.7895,352.5795,2019-01-07,20:52,Cash,335.79,4.761904762,16.7895,6.2,2019,1
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,2019-01-07,17:36,Cash,218.2,4.761904762,10.91,7.1,2019,1
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,19.084,400.764,2019-02-02,13:23,Ewallet,381.68,4.761904762,19.084,6.4,2019,2
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle,37.0,1,1.85,38.85,2019-03-06,13:29,Credit card,37.0,4.761904762,1.85,7.9,2019,3
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,16.107,2019-01-06,11:09,Cash,15.34,4.761904762,0.767,6.5,2019,1
667-92-0055,A,Yangon,Member,Male,Health and beauty,99.83,6,29.949,628.929,2019-03-04,15:02,Ewallet,598.98,4.761904762,29.949,8.5,2019,3
565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67,4,9.534,200.214,2019-03-12,14:21,Cash,190.68,4.761904762,9.534,9.1,2019,3
430-60-3493,A,Yangon,Member,Female,Home and lifestyle,94.88,7,33.208,697.368,2019-02-03,14:38,Cash,664.16,4.761904762,33.208,4.2,2019,2
211-05-0490,C,Naypyitaw,Member,Female,Electronic accessories,51.92,5,12.98,272.58,2019-03-03,13:42,Cash,259.6,4.761904762,12.98,7.5,2019,3
744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.514,493.794,2019-01-10,14:16,Ewallet,470.28,4.761904762,23.514,5.8,2019,1
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.982,209.622,2019-01-02,18:09,Credit card,199.64,4.761904762,9.982,6.7,2019,1
573-10-3877,B,Mandalay,Member,Male,Health and beauty,39.01,1,1.9505,40.9605,2019-03-12,16:46,Credit card,39.01,4.761904762,1.9505,4.7,2019,3
848-42-2560,A,Yangon,Normal,Female,Fashion accessories,81.91,2,8.191,172.011,2019-03-05,17:43,Cash,163.82,4.761904762,8.191,7.8,2019,3
181-94-6432,C,Naypyitaw,Member,Male,Fashion accessories,69.33,2,6.933,145.593,2019-02-05,19:05,Ewallet,138.66,4.761904762,6.933,9.7,2019,2
870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23,5,3.5575,74.7075,2019-02-01,10:08,Credit card,71.15,4.761904762,3.5575,4.4,2019,2
423-64-4619,A,Yangon,Member,Female,Health and beauty,15.55,9,6.9975,146.9475,2019-03-07,13:12,Cash,139.95,4.761904762,6.9975,5.0,2019,3
227-07-4446,C,Naypyitaw,Member,Female,Electronic accessories,78.13,10,39.065,820.365,2019-02-10,20:51,Cash,781.3,4.761904762,39.065,4.4,2019,2
428-83-5800,C,Naypyitaw,Member,Female,Food and beverages,21.08,3,3.162,66.402,2019-02-09,10:25,Cash,63.24,4.761904762,3.162,7.3,2019,2
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,392.6475,2019-01-10,11:34,Cash,373.95,4.761904762,18.6975,4.9,2019,1
704-20-4138,C,Naypyitaw,Member,Female,Health and beauty,29.67,7,10.3845,218.0745,2019-03-11,18:58,Credit card,207.69,4.761904762,10.3845,8.1,2019,3
563-91-7120,A,Yangon,Normal,Female,Fashion accessories,61.77,5,15.4425,324.2925,2019-03-08,13:21,Cash,308.85,4.761904762,15.4425,6.7,2019,3
276-54-0879,B,Mandalay,Normal,Male,Sports and travel,97.74,4,19.548,410.508,2019-03-12,19:53,Ewallet,390.96,4.761904762,19.548,6.4,2019,3
815-11-1168,A,Yangon,Member,Male,Food and beverages,99.78,5,24.945,523.845,2019-03-09,19:09,Cash,498.9,4.761904762,24.945,5.4,2019,3
719-76-3868,C,Naypyitaw,Member,Male,Food and beverages,94.26,4,18.852,395.892,2019-03-12,16:30,Cash,377.04,4.761904762,18.852,8.6,2019,3
868-81-1752,B,Mandalay,Normal,Male,Home and lifestyle,22.02,9,9.909,208.089,2019-02-07,18:48,Cash,198.18,4.761904762,9.909,6.8,2019,2
566-71-1091,A,Yangon,Normal,Male,Fashion accessories,77.02,5,19.255,404.355,2019-02-03,15:59,Cash,385.1,4.761904762,19.255,5.5,2019,2
374-17-3652,B,Mandalay,Member,Female,Food and beverages,42.82,9,19.269,404.649,2019-02-05,15:26,Credit card,385.38,4.761904762,19.269,8.9,2019,2
378-07-7001,B,Mandalay,Member,Male,Electronic accessories,48.09,3,7.2135,151.4835,2019-02-10,18:23,Credit card,144.27,4.761904762,7.2135,7.8,2019,2
433-75-6987,B,Mandalay,Member,Female,Health and beauty,55.97,7,19.5895,411.3795,2019-03-05,19:06,Ewallet,391.79,4.761904762,19.5895,8.9,2019,3
441-94-7118,A,Yangon,Member,Male,Electronic accessories,71.95,1,3.5975,75.5475,2019-02-04,12:14,Cash,71.95,4.761904762,3.5975,7.3,2019,2
565-67-6697,B,Mandalay,Member,Male,Home and lifestyle,27.0,9,12.15,255.15,2019-03-02,14:16,Cash,243.0,4.761904762,12.15,4.8,2019,3
320-49-6392,C,Naypyitaw,Normal,Female,Electronic accessories,30.24,1,1.512,31.752,2019-03-04,15:44,Cash,30.24,4.761904762,1.512,8.4,2019,3
889-04-9723,B,Mandalay,Member,Female,Food and beverages,89.14,4,17.828,374.388,2019-01-07,12:20,Credit card,356.56,4.761904762,17.828,7.8,2019,1
